code,nature
Y257002001,intermediate
Y412204001,intermediate
Y067406001,downstream
Y642401001,upstream
Y221001001,independent
Y553541001,upstream
V541000401,upstream
Y160504001,upstream
Y160505001,downstream
Y152401001,upstream
Y123201002,downstream
Y136401001,downstream
Y411502001,upstream
Y141502001,downstream
Y135521001,upstream
Y251003001,intermediate
V542401001,intermediate
Y123201001,intermediate
Y024521001,upstream
Y255001002,intermediate
Y643401001,downstream
K201082001,independent
Y331001001,independent
Y201002001,upstream
Y043402001,intermediate
Y523501001,independent
Y144501001,independent
Y561503001,downstream
Y010522001,independent
Y214001002,downstream
V422501001,intermediate
Y441401501,upstream
Y113501001,upstream
Y063403002,intermediate
Y550541001,independent
Y510501001,independent
Y024404001,intermediate
Y461502001,intermediate
O163401001,independent
Y032501001,independent
Y532501002,independent
Y314001001,independent
V501404001,intermediate
V713501701,upstream
Y152402001,intermediate
Y511502002,independent
Y343501501,independent
V430000101,independent
V532401002,upstream
Y460402001,upstream
X211401001,independent
V715501001,downstream
V504881301,upstream
V547401501,downstream
Y143541001,independent
Y111201001,intermediate
Y065501001,intermediate
Y252002001,upstream
Y044401001,intermediate
Y134501001,upstream
Y023401001,intermediate
Y612501201,downstream
Y553403001,downstream
