code,x,y,area,dt_pstn,nature,,class
A0220200,1040326,6727860,16.98,2018,downstream,OK,Uniform
A9832010,964073,6888916,185.71,2018,downstream,OK,Oceanic
E3346020,708665,7047916,33.16,2018,downstream,OK,Oceanic
G4002020,553088,6957964,50.54,2018,downstream,OK,Uniform
H3403102,683912,6779077,296.13,2018,downstream,OK,Uniform
H5142610,850650,6866805,113.709999084473,2018,downstream,OK,Oceanic
H7843010,642355,6900051,107.34,2018,downstream,OK,Uniform
I3712010,436010,6892170,76.95,2018,downstream,OK,Oceanic
J5704810,237176,6774266,45.88,2018,downstream,OK,Oceanic
J7803020,371041,6744499,58.18,2018,downstream,OK,Oceanic
K2724210,711098,6519249,44.35,2018,downstream,OK,Uniform
L0914020,536134,6529207,178.29,2018,downstream,OK,Oceanic
M1354020,510486,6725664,68.06,2018,downstream,OK,Oceanic
N0113010,342120,6653703,33.44,2018,downstream,OK,Oceanic
O3314010,737375,6330205,40.81,2018,downstream,OK,Mediterranean
O8255010,559476,6380650,119.06,2018,downstream,OK,Oceanic
O9134010,471239,6377785,409.77,2018,downstream,OK,Uniform
P3264310,572957,6463858,57.78,2018,downstream,OK,Oceanic
Q0115710,463986,6225503,32.33,2018,downstream,OK,Uniform
S4214010,359969,6307073,76.8099975585938,2018,downstream,OK,Uniform
U0525010,939209,6729135,142.5,2018,downstream,OK,Oceanic
U3004010,819789,6634730,67.25,2018,downstream,OK,Oceanic
V1325020,925682,6515921,138.98,2018,downstream,OK,Oceanic
V4145210,820019,6415618,71.76,2018,downstream,OK,Mediterranean
X2305010,982977,6301533,67.4000015258789,2018,downstream,OK,Mediterranean
Y0115410,698864,6158415,16.45,2018,downstream,OK,Mediterranean
Y1355210,637038,6242243,128.08,2018,downstream,OK,Oceanic
Y3315080,780499,6279391,52.67,2018,downstream,OK,Mediterranean
Y4414030,911241,6253701,164.630004882812,2018,downstream,OK,Mediterranean
Y9414020,1218800,6131925,115.205001831055,2018,downstream,OK,Mediterranean
