code,Tmin,IP,IQ,class,length,gap_p1,gap_p2,code_hydro,nom,territoire,s_hydro [km2],s_inrae [km2],x_hydro_l93,y_hydro_l93,x_inrae_l93,y_inrae_l93,x_hydro_l2E,y_hydro_l2E,x_inrae_l2E,y_inrae_l2E,x_hydro_wgs,y_hydro_wgs,x_inrae_wgs,y_inrae_wgs,x_centre_inrae_l93,y_centre_inrae_l93,x_centre_inrae_l2e,y_centre_inrae_l2e,x_centre_inrae_wgs,y_centre_inrae_wgs,Zmin [m],Z10,Z20,Z30,Z40,Z50,Z60,Z70,Z80,Z90,Zmax,periode_debit,taux_lacunes [%],stockage_amont [10e6 m3],statut,finalite,type,influence,debit,QBE,QME,QHE,premier_mois_etiage,premier_mois_anee_hydrologique,distance,bfi,rc,wi,rc_p1,rc_p2,wi_p1,wi_p2
A0220200,0.6865,0.3024,0.8112,Uniform,24,0.0,0.0,A0220200,Le Lertzbach à Hégenheim,Métropole continentale,15,16.98,1040354,6727980,1040326,6727860,990440,2297870,990413,2297749,7.52891,47.56433,7.52844,47.56326,1036545.0,6724046.0,986663.0,2293899,7.475373,47.530923,273,323,343,363,376,388,402,421,460,497,538,1993-01-26 - 2019-12-17,1.2,-,1,7,1,1,-,1,1,1,1,9,0.0,0.552,0.231,1.398,0.26,0.2,1.453,1.342
A1050310,0.588,0.3002,1.0286,PO,56,0.0,0.0,A1050310,L'Ill à Altkirch,Métropole continentale,233,238.19,1018298,6733837,1018591,6733545,968318,2303539,968613,2303249,7.24019,47.62798,7.24387,47.62521,1023555.0,6724059.0,973663.0,2293799,7.302984,47.537536,281,331,368,390,405,418,431,451,487,562,821,1962-11-21 - 2019-12-03,0.1,-,1,3,1,1,-,1,1,1,1,9,27.953,0.478,0.3,1.538,0.328,0.269,1.621,1.454
A1080330,0.6887,0.2914,1.3167,PO,43,0.0,0.0,A1080330,L'Ill à Didenheim,Métropole continentale,656,668.47,1022732,6744066,1022679,6744002,972666,2313814,972613,2313749,7.30656,47.71776,7.3058,47.71721,1018504.0,6729299.0,968563.0,2298999,7.23968,47.58709,241,290,310,334,360,382,400,419,444,498,821,1973-10-05 - 2020-01-02,0.7,-,1,3,1,1,-,1,1,1,1,9,16.918,0.438,0.308,1.526,0.324,0.289,1.612,1.439
A1310310,0.6946,0.3162,1.55,PO,58,0.0,0.0,A1310310,L'Ill à Ensisheim,Métropole continentale,1038,1030.08,1024938,6760781,1024923,6760771,974728,2330560,974713,2330549,7.34821,47.86689,7.348,47.8668,1015470.0,6736720.0,965463.0,2306399,7.204634,47.655254,212,256,286,307,335,367,395,422,465,593,1246,1957-01-17 - 2019-12-03,0.4,7.7,1,3,1,2,-,1,1,1,1,9,0.0,0.5,0.337,1.57,0.352,0.319,1.655,1.485
A2312020,0.1546,0.4593,1.9354,PO,35,1.0,0.0,A2312020,Le Giessen à Thanvillé,Métropole continentale,99,101.12,1022248,6810938,1022161,6810961,971600,2380727,971513,2380749,7.34921,48.31887,7.34806,48.31912,1016136.0,6813362.0,965463.0,2383099,7.268653,48.343647,226,302,349,394,437,485,538,591,648,730,1072,1984-01-01 - 2019-11-05,0.0,-,1,1,1,1,-,1,1,1,1,9,0.0,0.436,0.392,1.71,0.402,0.383,1.709,1.711
A3301010,1.1015,0.3904,0.8643,Uniform,52,0.0,0.0,A3301010,La Moder à Schweighouse-sur-Moder [aval],Métropole continentale,622,622.13,1047975,6868524,1047946,6868500,996842,2438573,996813,2438549,7.74226,48.82271,7.74185,48.82251,1032103.0,6879782.0,980863.0,2449699,7.535254,48.932154,142,184,203,220,238,256,276,298,326,362,577,1966-05-12 - 2019-12-02,0.0,-,1,3,1,1,-,1,1,1,1,9,0.0,0.711,0.303,1.238,0.307,0.299,1.238,1.238
A3422010,0.4184,0.4022,0.9731,Uniform,52,1.0,0.0,A3422010,La Zorn à Saverne [Schinderthal],Métropole continentale,185,183.71,1018533,6856373,1018558,6856363,967488,2426158,967513,2426149,7.33279,48.72881,7.33312,48.72871,1011667.0,6851177.0,960663.0,2420899,7.235794,48.685492,192,292,319,339,361,387,422,461,516,615,987,1966-10-01 - 2019-12-23,0.0,-,1,3,1,1,-,1,1,1,1,9,22.213,0.647,0.297,1.743,0.301,0.292,1.918,1.569
A3472010,0.991,0.3683,1.1187,PO,60,0.0,0.0,A3472010,La Zorn à Waltenheim-sur-Zorn,Métropole continentale,688,683.89,1040493,6859940,1040476,6859970,989430,2429919,989413,2429949,7.63368,48.74964,7.63347,48.74992,1021423.0,6858288.0,970363.0,2428099,7.373463,48.744573,141,184,199,212,226,253,288,321,361,441,987,1916-04-01 - 2019-12-02,0.0,-,1,2,1,1,-,1,1,1,1,9,0.0,0.619,0.315,1.338,0.317,0.312,1.403,1.273
A3902010,0.8041,0.4289,0.5459,Uniform,43,1.0,0.0,A3902010,La Lauter à Wissembourg [Weiler],Métropole continentale,278,275.18,1058235,6893741,1058158,6893596,1006888,2463895,1006813,2463749,7.90305,49.04342,7.90188,49.04216,1049303.0,6903918.0,997863.0,2473999,7.789551,49.139673,170,244,264,282,299,316,335,358,386,423,611,1976-01-01 - 2019-11-25,0.0,-,1,1,1,1,-,1,1,1,1,9,0.0,0.824,0.336,1.211,0.345,0.327,1.193,1.23
A6151030,0.2275,0.5198,1.1887,PO,42,1.0,1.0,A6151030,La Meurthe à Raon-l'Étape,Métropole continentale,727,727.1,984475,6818232,984449,6818283,933739,2387698,933713,2387749,6.84506,48.40203,6.84474,48.4025,995683.8,6805844.4,945063.0,2375399,6.987863,48.285718,281,361,397,434,472,515,566,626,716,855,1300,1973-11-01 - 2019-11-30,0.9,-,1,1,1,1,-,1,1,1,1,9,0.0,0.552,0.492,2.062,0.506,0.477,2.113,2.011
