code,x,y,area,nature
K003002010,782858.0,6413968.0,227.0,downstream
K201082001,771207.0,6390877.0,48.8,independent
O163401001,598338.0,6234416.0,196.0,independent
O331401002,737351.0,6330221.0,42.9,independent
V352401001,840250.0,6457888.0,380.0,independent
V414521001,820004.0,6415647.0,70.9,upstream
V417402101,834934.0,6414412.0,815.0,downstream
V422501001,897309.0,6402441.0,227.0,intermediate
V426401001,874972.0,6401423.0,1150.0,downstream
V427501001,869725.0,6410891.0,108.0,independent
V430000101,837228.0,6408192.0,123.0,independent
V441401001,859882.0,6393789.0,186.0,independent
V445501001,856303.0,6383259.0,85.0,independent
V500403001,800663.0,6397590.0,98.7,upstream
V501401001,811991.0,6383610.0,623.0,intermediate
V501403001,810687.0,6392945.0,477.0,intermediate
V501404001,802316.0,6397186.0,292.0,intermediate
V503502201,805713.0,6373093.0,239.0,upstream
V504881301,796836.0,6368233.0,600.0,upstream
V505401001,810287.0,6367664.0,1958.0,downstream
V532401002,884493.0,6372289.0,473.0,upstream
V541000401,783256.285,6356952.07,93.0,upstream
V542401001,787231.874,6355827.737,230.0,intermediate
V544502001,799734.912,6345914.265,160.0,upstream
V546401501,814192.582,6352744.066,834.0,intermediate
V547401501,829537.552,6342575.788,1120.0,downstream
V612501001,875158.286,6331277.236,75.0,upstream
V620201001,851933.0,6328551.0,1858.0,downstream
V712401501,772786.0,6336738.0,220.0,independent
V713501001,776964.527,6330959.582,263.0,downstream
V713501701,770755.0,6334273.0,150.0,upstream
V715501001,786345.094,6336295.434,315.0,downstream
X211401001,980867.017,6327976.463,137.0,independent
X230501001,982899.773,6301448.396,66.0,independent
X241403001,991602.467,6302785.549,91.0,independent
Y010522001,708904.058,6151802.575,28.0,independent
Y023401001,666690.082,6148433.138,250.0,intermediate
Y024401001,670773.0,6151622.0,335.0,intermediate
Y024404001,673149.046,6152714.576,376.0,intermediate
Y024521001,672725.1,6152105.572,32.0,upstream
Y027401001,686163.073,6157645.619,608.0,intermediate
Y028406001,698788.964,6165089.399,729.0,downstream
Y032501001,678077.053,6166655.832,31.0,independent
Y043402001,649192.315,6167075.649,573.0,intermediate
Y044401001,657863.493,6171812.386,834.0,intermediate
Y046403001,663915.057,6173486.6,974.0,intermediate
Y062402001,658839.276,6189068.294,216.0,upstream
Y062522001,660980.915,6184098.244,157.0,upstream
Y063403001,668632.263,6185124.84,438.0,intermediate
Y063403002,669001.929,6185025.908,438.0,intermediate
Y065501001,679071.233,6190015.761,305.0,intermediate
Y065502001,673488.821,6196181.521,161.0,upstream
Y066404001,677944.065,6186493.208,903.0,intermediate
