Code_BV,Code_hyd,Code_hyd2,Surf_Bnbv,Surf_raster,Xexu,Yexu,stations_vfv2,Surf_runoff,Xexu_runoff,Yexu_runoff,code_karst,indice_karst,code_nival,indice_nival,code_Qbase,indice_Qbase,code_barrage,indice_barrage
Y4624010,MedEst_672,ME672,534.3175,532,956312.5,6232662.5,0,540,955500,6232500,2,0.456,4,0.008,4,32.203,4,0.002
Y4604020,MedEst_785,ME785,186.8625,187,947062.5,6237362.5,0,191,946500,6237500,1,0.989,4,0.011,4,29.011,4,0
Y4615020,MedEst_1234,ME1234,282.0925,283,953062.5,6236912.5,0,281,953500,6236500,3,0.194,4,0.007,4,33.779,4,0.004
Y4615610,MedEst_1243,ME1243,70.67,70,961662.5,6242712.5,1,69,961500,6242500,4,0,4,0.01,4,30.208,4,0.016
Y4615810,MedEst_1236,ME1236,9.2575,10,971362.5,6244362.5,0,9,971500,6244500,4,0,4,0.011,4,27.25,4,0
Y4615830,MedEst_1239,ME1239,29.355,30,969012.5,6243362.5,0,29,969500,6243500,4,0,4,0.011,4,23.087,4,0
Y4616010,MedEst_1455,ME1455,8.405,7,970962.5,6244062.5,0,8,970500,6244500,4,0,4,0.012,4,19.175,4,0
Y4414015,MedEst_710,ME710,55.5325,58,918862.5,6257212.5,0,57,919500,6257500,1,0.977,4,0.011,4,24.241,4,0
Y6434010,MedEst_296,ME296,441.0025,441,1034112.5,6314062.5,0,446,1034500,6313500,2,0.202,4,0.057,4,20.545,4,0
Y6434005,MedEst_317,ME317,261.8675,262,1018012.5,6315312.5,0,269,1018500,6315500,3,0.078,4,0.073,4,19.849,4,0
Y5444010,MedEst_700,ME700,195.275,195,988512.5,6245962.5,1,200,987500,6245500,4,0,4,0.007,4,31.527,3,0.165
Y5424010,MedEst_696,ME696,66.06,69,987062.5,6246112.5,1,70,986500,6246500,4,0,4,0.007,4,26.649,4,0
Y5435010,MedEst_1055,ME1055,50.64,49,980062.5,6240312.5,1,51,980500,6240500,4,0,4,0.007,4,29.859,4,0.038
Y5615030,MedEst_275,ME275,288.6225,291,1033562.5,6292112.5,1,287,1032500,6292500,1,0.85,4,0.047,4,16.57,4,0
Y5615010,MedEst_263,ME263,206.4925,204,1023112.5,6296962.5,0,207,1023500,6296500,1,0.945,4,0.062,4,14.348,4,0
Y5534030,MedEst_251,ME251,490.4225,487,1017312.5,6284412.5,0,492,1017500,6284500,1,0.692,4,0.037,4,20.582,2,0.266
Y5514010,MedEst_930,ME930,220.845,219,1009712.5,6287412.5,0,219,1009500,6286500,1,0.976,4,0.067,4,16.988,4,0
Y5514040,MedEst_923,ME923,164.5675,162,1003462.5,6292062.5,0,165,1004500,6291500,1,1,4,0.079,4,18.347,4,0
Y5515410,MedEst_1286,ME1286,53.93,51,999862.5,6293312.5,1,53,999500,6293500,1,1,4,0.087,4,18.432,4,0
Y5535410,MedEst_1705,ME1705,42.935,41,1017212.5,6284762.5,1,45,1018500,6286500,1,0.623,4,0.014,4,26.824,4,0
Y5325010,MedEst_153,ME153,72.6275,72,1002912.5,6271112.5,1,73,1002500,6271500,4,0,4,0.006,4,28.55,3,0.057
Y5005210,MedEst_1029,ME1029,143.5975,146,938862.5,6270612.5,1,143,938500,6270500,1,1,4,0.01,4,14.312,4,0
Y5032010,MedEst_868,ME868,506.775,509,944812.5,6271462.5,1,507,944500,6271500,1,0.81,4,0.014,4,17.187,4,0
Y5106610,MedEst_835,ME835,235.2975,227,960912.5,6265812.5,1,235,960500,6265500,1,0.863,4,0.008,4,19.585,4,0
Y5112010,MedEst_34,ME34,1143.6325,1141,958612.5,6269562.5,0,1141,958500,6269500,1,0.735,4,0.011,4,18.202,2,0.39
Y5115020,MedEst_210,ME210,167.52,164,961062.5,6279112.5,0,167,961500,6278500,1,0.942,4,0.023,4,14.622,4,0
Y5202010,MedEst_61,ME61,1655.7125,1652,981062.5,6267012.5,0,1660,981500,6266500,1,0.692,4,0.012,4,19.129,2,0.269
Y5215020,MedEst_1337,ME1337,227.8175,228,979862.5,6261212.5,1,223,979500,6261500,3,0.131,4,0.006,4,32.809,4,0.04
Y5235010,MedEst_1217,ME1217,195.2425,194,981662.5,6273562.5,0,193,981500,6273500,1,0.708,4,0.034,4,20.118,4,0
Y5305015,MedEst_168,ME168,187.1275,188,990312.5,6273762.5,0,181,990500,6273500,2,0.418,4,0.016,4,27.284,3,0.104
